lsoa11cd,lsoa11nm,All_usual_residents,Disabled_under_the_Equality_Act_number,Disabled_under_the_Equality_Act%
E01011698, Leeds 001A,1464 ,226,15.4
E01011699, Leeds 001B,1290 ,179,13.9
E01011701, Leeds 001C,1367 ,212,15.5
E01011702, Leeds 001D,1650 ,175,10.6
E01011703, Leeds 001E,1223 ,199,16.3
E01011697, Leeds 002A,2285 ,624,27.3
E01011700, Leeds 002B,1482 ,306,20.6
E01011704, Leeds 002C,2229 ,502,22.5
E01011705, Leeds 002D,1369 ,284,20.7
E01011581, Leeds 003A,1660 ,255,15.4
E01011582, Leeds 003B,1613 ,378,23.4
E01011583, Leeds 003C,1576 ,231,14.7
E01011584, Leeds 003D,1682 ,253,15
E01011569, Leeds 004A,1731 ,286,16.5
E01011571, Leeds 004B,1609 ,293,18.2
E01011572, Leeds 004C,1776 ,264,14.9
E01011573, Leeds 004D,1312 ,197,15
E01011574, Leeds 004E,1405 ,351,25
E01011707, Leeds 005A,1295 ,242,18.7
E01011709, Leeds 005B,2047 ,275,13.4
E01011710, Leeds 005C,1413 ,198,14
E01011711, Leeds 005D,1418 ,226,15.9
E01011712, Leeds 005E,1448 ,201,13.9
E01011561, Leeds 006A,1186 ,125,10.5
E01011696, Leeds 006B,1549 ,207,13.4
E01011706, Leeds 006C,1534 ,159,10.4
E01011708, Leeds 006D,1471 ,196,13.3
E01011713, Leeds 006E,1785 ,201,11.3
E01011570, Leeds 007A,2305 ,339,14.7
E01011576, Leeds 007C,1463 ,163,11.1
E01032503, Leeds 007E,1447 ,189,13.1
E01032504, Leeds 007F,1783 ,238,13.3
E01011266, Leeds 008A,2613 ,256,9.8
E01011270, Leeds 008B,1722 ,208,12.1
E01011279, Leeds 008C,1318 ,233,17.7
E01011280, Leeds 008D,2071 ,270,13
E01011265, Leeds 009A,1955 ,347,17.7
E01011267, Leeds 009B,1699 ,340,20
E01011271, Leeds 009C,2172 ,248,11.4
E01011272, Leeds 009D,1455 ,184,12.6
E01011268, Leeds 010A,1395 ,313,22.4
E01011273, Leeds 010B,1483 ,226,15.2
E01011274, Leeds 010C,1360 ,313,23
E01011275, Leeds 010D,1410 ,262,18.6
E01011264, Leeds 011A,1284 ,274,21.3
E01011269, Leeds 011B,1568 ,361,23
E01011276, Leeds 011C,1736 ,277,16
E01011578, Leeds 011D,1274 ,241,18.9
E01011554, Leeds 012A,1445 ,186,12.9
E01011562, Leeds 012B,1567 ,214,13.7
E01011563, Leeds 012C,1392 ,167,12
E01011564, Leeds 012D,1558 ,198,12.7
E01011567, Leeds 012E,1473 ,153,10.4
E01011376, Leeds 013A,1663 ,199,12
E01011377, Leeds 013B,1389 ,234,16.8
E01011378, Leeds 013C,1418 ,375,26.4
E01011382, Leeds 013D,1610 ,247,15.3
E01011277, Leeds 014A,1604 ,194,12.1
E01011278, Leeds 014B,1622 ,207,12.8
E01011579, Leeds 014C,1340 ,205,15.3
E01011580, Leeds 014D,1370 ,196,14.3
E01011556, Leeds 015A,1650 ,231,14
E01011557, Leeds 015B,1420 ,225,15.8
E01011565, Leeds 015C,1483 ,200,13.5
E01011566, Leeds 015D,1337 ,172,12.9
E01011568, Leeds 015E,1915 ,331,17.3
E01011380, Leeds 016A,1550 ,241,15.5
E01011381, Leeds 016B,1476 ,210,14.2
E01011385, Leeds 016C,1338 ,218,16.3
E01011386, Leeds 016D,1816 ,218,12
E01011379, Leeds 017A,1611 ,376,23.3
E01011384, Leeds 017B,1518 ,298,19.6
E01032501, Leeds 017E,1148 ,190,16.6
E01032502, Leeds 017F,1875 ,392,20.9
E01011555, Leeds 018A,1383 ,166,12
E01011558, Leeds 018B,1778 ,333,18.7
E01011559, Leeds 018C,1475 ,322,21.8
E01011560, Leeds 018D,1937 ,431,22.3
E01011383, Leeds 019A,1673 ,309,18.5
E01011388, Leeds 019B,1578 ,281,17.8
E01011684, Leeds 019C,1557 ,243,15.6
E01011695, Leeds 019D,1710 ,450,26.3
E01011650, Leeds 020A,1522 ,178,11.7
E01011651, Leeds 020B,1490 ,229,15.4
E01011653, Leeds 020C,1375 ,175,12.7
E01011655, Leeds 020D,1478 ,233,15.8
E01011455, Leeds 021A,1371 ,166,12.1
E01011456, Leeds 021B,2048 ,309,15.1
E01011459, Leeds 021C,1679 ,269,16
E01011461, Leeds 021D,1564 ,191,12.2
E01011311, Leeds 022A,1267 ,136,10.7
E01011649, Leeds 022B,1581 ,171,10.8
E01011715, Leeds 022C,1354 ,199,14.7
E01011719, Leeds 022D,1430 ,300,21
E01011509, Leeds 023A,1436 ,278,19.4
E01011511, Leeds 023B,1415 ,221,15.6
E01011512, Leeds 023C,1722 ,230,13.4
E01011515, Leeds 023D,1495 ,191,12.8
E01011516, Leeds 023E,1744 ,204,11.7
E01011508, Leeds 024A,1435 ,183,12.8
E01011517, Leeds 024B,1714 ,276,16.1
E01011652, Leeds 024C,1396 ,186,13.3
E01011654, Leeds 024D,1473 ,157,10.7
E01011505, Leeds 025A,1701 ,287,16.9
E01011506, Leeds 025B,1539 ,198,12.9
E01011507, Leeds 025C,1655 ,230,13.9
E01011510, Leeds 025D,1528 ,471,30.8
E01011514, Leeds 025E,1782 ,166,9.3
E01011452, Leeds 027A,1651 ,162,9.8
E01011454, Leeds 027B,1606 ,149,9.3
E01011457, Leeds 027C,1628 ,196,12
E01011458, Leeds 027D,2677 ,229,8.6
E01011465, Leeds 027E,1749 ,286,16.4
E01011453, Leeds 028A,1565 ,262,16.7
E01011460, Leeds 028B,1539 ,247,16
E01011462, Leeds 028C,1728 ,333,19.3
E01011463, Leeds 028D,1691 ,365,21.6
E01011464, Leeds 028E,1810 ,271,15
E01011714, Leeds 029A,1950 ,293,15
E01011716, Leeds 029B,1588 ,212,13.4
E01011717, Leeds 029C,1620 ,307,19
E01011718, Leeds 029D,1972 ,357,18.1
E01011720, Leeds 029E,1510 ,372,24.6
